shapeid,x,y,Traffic,Train,Industrial
16.0,14120.2199629,-2320.71286576,69,0,0
16.0,14120.8219954,-2400.86014876,69,0,0
17.0,14120.806156,-2277.98586953,69,0,0
17.0,14120.2199629,-2320.71286576,69,0,0
18.0,14123.3490299,-2199.48808917,69,0,0
18.0,14122.2990177,-2208.83236132,69,0,0
18.0,14120.806156,-2277.98586953,69,0,0
19.0,14228.3989948,-2084.25985346,69,0,0
19.0,14215.7795314,-2097.3786329,69,0,0
19.0,14151.2717655,-2169.24781597,69,0,0
19.0,14123.3490299,-2199.48808917,69,0,0
20.0,14283.2744395,-2032.24101394,69,0,0
20.0,14240.1886638,-2070.88524766,69,0,0
20.0,14228.3989948,-2084.25985346,69,0,0
21.0,14120.8219954,-2400.86014876,69,0,0
21.0,14119.2608256,-2567.26347587,69,0,0
22.0,13996.7729388,-2399.00836382,71,0,0
22.0,13994.5156028,-2480.0362367,71,0,0
23.0,13994.5156028,-2480.0362367,71,0,0
23.0,13996.5882969,-2561.34939358,71,0,0
24.0,13996.5882969,-2561.34939358,71,0,0
24.0,13996.2239432,-2677.25749986,71,0,0
25.0,13997.7508859,-2320.61597728,71,0,0
25.0,13996.7729388,-2399.00836382,71,0,0
26.0,13820.1328613,-2383.10594709,60,0,0
26.0,13873.8055239,-2441.85934636,60,0,0
27.0,13873.8055239,-2441.85934636,60,0,0
27.0,13942.8428268,-2516.45633796,60,0,0
28.0,13739.5978707,-2297.71587448,60,0,0
28.0,13820.1328613,-2383.10594709,60,0,0
29.0,13942.8428268,-2516.45633796,60,0,0
29.0,13943.1311432,-2615.8344407,60,0,0
29.0,13940.6645358,-2623.76630375,60,0,0
30.0,13994.5156028,-2480.0362367,60,0,0
30.0,13943.4575486,-2479.82617889,60,0,0
31.0,13943.4575486,-2479.82617889,60,0,0
31.0,13942.8428268,-2516.45633796,60,0,0
32.0,13943.5199715,-2384.04022239,60,0,0
32.0,13943.4575486,-2479.82617889,60,0,0
33.0,13873.8055239,-2441.85934636,60,0,0
33.0,13929.8292939,-2390.08100933,60,0,0
34.0,13820.9711757,-2489.82819898,60,0,0
34.0,13873.8055239,-2441.85934636,60,0,0
35.0,13820.1328613,-2383.10594709,60,0,0
35.0,13844.6831529,-2336.00652042,60,0,0
36.0,13844.6831529,-2336.00652042,60,0,0
36.0,13929.8292939,-2390.08100933,60,0,0
37.0,13844.6831529,-2336.00652042,60,0,0
37.0,13880.8326239,-2270.92489724,60,0,0
38.0,13929.8292939,-2390.08100933,60,0,0
38.0,13943.5199715,-2384.04022239,60,0,0
39.0,13996.7729388,-2399.00836382,66,0,0
39.0,14120.8219954,-2400.86014876,66,0,0
40.0,13996.5882969,-2561.34939358,66,0,0
40.0,14109.3856657,-2558.60090911,66,0,0
40.0,14119.2608256,-2567.26347587,66,0,0
41.0,14120.2199629,-2320.71286576,66,0,0
41.0,13997.7508859,-2320.61597728,66,0,0
42.0,13997.7508859,-2320.61597728,66,0,0
42.0,13944.3401412,-2318.36796442,66,0,0
43.0,13996.2239432,-2677.25749986,71,0,0
43.0,13995.8644805,-2754.33175062,71,0,0
44.0,14203.6146443,-2469.74286729,64,0,0
44.0,14151.0738222,-2526.30292176,64,0,0
45.0,14151.0738222,-2526.30292176,64,0,0
45.0,14126.7594726,-2557.60722071,64,0,0
45.0,14119.2608256,-2567.26347587,64,0,0
46.0,14119.2608256,-2567.26347587,64,0,0
46.0,14106.5555956,-2586.15872436,64,0,0
47.0,14106.5555956,-2586.15872436,64,0,0
47.0,14066.3543085,-2648.53441639,64,0,0
48.0,14258.2010157,-2412.71149265,64,0,0
48.0,14203.6146443,-2469.74286729,64,0,0
49.0,14281.0322617,-2387.40532301,64,0,0
49.0,14258.2010157,-2412.71149265,64,0,0
50.0,14306.1716903,-2360.43040628,64,0,0
50.0,14281.0322617,-2387.40532301,64,0,0
51.0,14405.6254511,-2251.80305881,64,0,0
51.0,14306.1716903,-2360.43040628,64,0,0
52.0,14017.0941248,-2116.66277975,66,0,0
52.0,14083.9950999,-2117.20160887,66,0,0
53.0,14046.1543363,-2199.52243995,66,0,0
53.0,14095.5921415,-2143.63336721,66,0,0
53.0,14096.722812,-2127.64263652,66,0,0
53.0,14083.9950999,-2117.20160887,66,0,0
54.0,13996.5109597,-2277.96831958,71,0,0
