shapeid,xp,yp,Traffic,Train,Industrial
184.0,1077,650,70,0,0
185.0,1040,648,77,0,0
185.0,1042,647,77,0,0
186.0,1042,647,77,0,0
186.0,1045,644,77,0,0
187.0,1036,653,75,0,0
187.0,1040,648,75,0,0
188.0,1045,644,77,0,0
188.0,1051,639,77,0,0
189.0,1032,657,75,0,0
189.0,1036,653,75,0,0
190.0,1051,639,77,0,0
190.0,1054,637,77,0,0
191.0,1054,637,77,0,0
191.0,1059,633,77,0,0
192.0,1052,645,72,0,0
192.0,1065,645,72,0,0
193.0,1065,645,72,0,0
193.0,1071,645,72,0,0
194.0,1071,645,72,0,0
194.0,1077,644,72,0,0
195.0,1065,645,68,0,0
195.0,1064,632,68,0,0
196.0,1065,657,68,0,0
196.0,1065,645,68,0,0
197.0,1052,645,72,0,0
197.0,1052,642,72,0,0
198.0,1052,655,72,0,0
198.0,1052,645,72,0,0
199.0,1052,642,77,0,0
199.0,1052,640,77,0,0
199.0,1051,639,77,0,0
200.0,1052,642,64,0,0
200.0,1053,642,64,0,0
200.0,1056,641,64,0,0
200.0,1061,639,64,0,0
200.0,1060,637,64,0,0
201.0,1045,644,65,0,0
201.0,1048,649,65,0,0
201.0,1051,655,65,0,0
202.0,1045,650,65,0,0
202.0,1047,655,65,0,0
203.0,1103,632,69,0,0
203.0,1103,626,69,0,0
204.0,1103,645,69,0,0
204.0,1103,632,69,0,0
205.0,1103,645,65,0,0
205.0,1114,634,65,0,0
205.0,1115,632,65,0,0
206.0,1104,657,69,0,0
206.0,1103,655,69,0,0
206.0,1103,645,69,0,0
207.0,1102,617,69,0,0
207.0,1103,608,69,0,0
208.0,1102,617,70,0,0
208.0,1098,611,70,0,0
209.0,1082,623,60,0,0
209.0,1090,617,60,0,0
210.0,1087,628,60,0,0
210.0,1082,623,60,0,0
211.0,1082,623,60,0,0
211.0,1078,617,60,0,0
212.0,1087,628,60,0,0
212.0,1094,623,60,0,0
213.0,1077,627,60,0,0
213.0,1082,623,60,0,0
214.0,1086,611,60,0,0
214.0,1081,606,60,0,0
215.0,1081,606,60,0,0
215.0,1077,600,60,0,0
216.0,1077,600,60,0,0
216.0,1074,597,60,0,0
216.0,1073,596,60,0,0
217.0,1090,617,60,0,0
217.0,1086,611,60,0,0
218.0,1094,623,60,0,0
218.0,1090,617,60,0,0
219.0,1099,629,60,0,0
219.0,1094,623,60,0,0
220.0,1099,629,72,0,0
220.0,1103,626,72,0,0
221.0,1096,632,72,0,0
221.0,1099,629,72,0,0
222.0,1077,600,70,0,0
222.0,1085,594,70,0,0
223.0,1072,603,70,0,0
223.0,1073,603,70,0,0
223.0,1077,600,70,0,0
224.0,1085,594,70,0,0
224.0,1078,586,70,0,0
225.0,1089,600,70,0,0
225.0,1085,594,70,0,0
226.0,1094,606,70,0,0
226.0,1089,600,70,0,0
227.0,1098,611,70,0,0
227.0,1094,606,70,0,0
228.0,1094,623,60,0,0
228.0,1102,617,60,0,0
229.0,1212,538,53,0,0
229.0,1209,534,53,0,0
230.0,1204,535,53,0,0
230.0,1207,532,53,0,0
231.0,1218,541,53,0,0
231.0,1215,536,53,0,0
232.0,1215,536,61,0,0
232.0,1208,525,61,0,0
233.0,1217,544,53,0,0
233.0,1216,542,53,0,0
234.0,1214,547,61,0,0
234.0,1212,545,61,0,0
235.0,1212,545,61,0,0
235.0,1205,537,61,0,0
236.0,1205,537,61,0,0
236.0,1204,535,61,0,0
